guid,front,back,tags
yHjHo#S6;H,When using GHCI what should you do to negative numbers when working with them?,Surround them with parentheses.,"CS::HSChapter2, CS::haskell, CS::programming-languages"
f+Sx-%4{4h,How do you negate a <pre>True</pre> or <pre>False</pre>?,<pre>not</pre>,"CS::HSChapter2, CS::haskell, CS::programming-languages"
mBB?r!)Z6J,What do the <pre>min</pre> and <pre>max</pre> functions do?,Take the respectively maximum and minimum of two numbers.,"CS::HSChapter2, CS::haskell, CS::programming-languages"
nvNO}Hp~iT,What is the function for integral division?,<pre>div</pre>,"CS::HSChapter2, CS::haskell, CS::programming-languages"
tCu$r@NOe$,What is the difference between Haskell’s if statement and if statements in imperative languages?,The else part is mandatory in Haskell.,"CS::HSChapter2, CS::haskell, CS::programming-languages"
"D,v7QO`L7_",What is an expression?,A piece of code that returns a value.,"CS::HSChapter2, CS::haskell, CS::programming-languages"
KaAQ}ezRIV,"In Haskell, is <pre>5</pre> an expression?","Yes, because it returns the value 5.","CS::HSChapter2, CS::haskell, CS::programming-languages"
c2ETr;MRgK,Why is the function <pre>DoubleMe x = x + x</pre> not valid?,Because the name begins with a capital letter,"CS::HSChapter2, CS::haskell, CS::programming-languages"
e$c371pa9/,Are lists homogenous or heterogeneous?,"Homogenous, it stores several elements of the same type.","CS::HSChapter2, CS::haskell, CS::programming-languages"
HCqs|cMr$8,What is the string <pre>”hello”</pre> syntactic sugar for?,"<pre>['h','e','l','l','o']</pre> ","CS::HSChapter2, CS::haskell, CS::programming-languages"
OOk8DX59x*,How do you put two lists together?,<pre>++</pre>,"CS::HSChapter2, CS::haskell, CS::programming-languages"
t~oj!>8Vq3,How do you put something on the beginning of a list?,"Using <pre>:</pre>. e.g. <pre>5:[1,2,3,4,5]</pre> results in <pre>[5,1,2,3,4,5]</pre>","CS::HSChapter2, CS::haskell, CS::programming-languages"
N#_v`G0S-],"What is [1,2,3] syntactic sugar for?","1:2:3:[], meaning 1 prepended to 2, 2 prepended to 3 and 3 prepended to an empty list.","CS::HSChapter2, CS::haskell, CS::programming-languages"
i@Gt}N`Q[#,How do we get an element out of a list by index?,Using <pre>!!</pre>. Indices start at 0,"CS::HSChapter2, CS::haskell, CS::programming-languages"
x-8.GLV~Wa,Are lists inside of lists allowed to have different types?,"No, each list inside of a list has to have the same elements e.g. only Integers, only Chars etc.","CS::HSChapter2, CS::haskell, CS::programming-languages"
qgjatGyS6r,What is the head of the list?,The first element,"CS::HSChapter2, CS::haskell, CS::programming-languages"
e=kv=rjUW1,What is the tail of a list?,All other elements than the head,"CS::HSChapter2, CS::haskell, CS::programming-languages"
O&3:5@33Rh,What is the last of a list?,The last element,"CS::HSChapter2, CS::haskell, CS::programming-languages"
f:2?Wz<g#K,What is the init of a list? ,Everything except the last element,"CS::HSChapter2, CS::haskell, CS::programming-languages"
mL8Y@{wer:,How do we check whether a list is empty?,Using <pre>null</pre>,"CS::HSChapter2, CS::haskell, CS::programming-languages"
