guid,front,back,tags
r*n18DO{-E,<p>Chapter 1 Introduction &gt; What is an OS?</p>,<p>A program that acts as an intermediary between user and hardware</p>,"obsidian, operating-systems"
EMK3B#7%o#,<p>What is virtualization?</p>,<p>A method that allows operating systems to run applications within other OS'es</p>,"card, obsidian"
damO13JnOA,<p>Chapter 4 Names and The Environment &gt; Operations on Environments &gt; When are changes in the environment produced?</p>,<p>At entry and exit from a block</p>,"obsidian, programming-languages"
"Pg,t/d.9:h",<p>Chapter 4 Names and The Environment &gt; Scope Rules &gt; Where is a declaration local to a block visible?</p>,<p>That block and all the blocks nested within it</p>,"obsidian, programming-languages"
n>}hP.h#.t,<p>Chapter 4 Names and The Environment &gt; Scope Rules &gt; Static Scope &gt; What is the difference between static and lexical scope?</p>,<p>They are two words for the same thing</p>,"obsidian, programming-languages"
yH+JoVdK?7,<p>Chapter 5 Memory Management &gt; Techniques for Memory Management &gt; Is memory management a function of a compiler or interpreter associated with an abstract machine?</p>,<p>Interpreter</p>,"obsidian, programming-languages"
BXTckxZYG<,<p>Chapter 5 Memory Management &gt; Techniques for Memory Management &gt; Which functionality manages the allocation of memory for programs and for data?</p>,<p>Interpreter</p>,"obsidian, programming-languages"
f)_PT=tSxj,<p>Chapter 5 Memory Management &gt; Static Memory Management &gt; When is static memory management performed and by what?</p>,<p>By the compiler before execution starts</p>,"obsidian, programming-languages"
oq&3-M=Xal,<p>Chapter 5 Memory Management &gt; Static Memory Management &gt; Where does statically allocated memory objects reside?</p>,"<p>In a fixed zone of memory which is determined by the compiler, <strong>and they remain there for the entire durectino of the program's execution.</strong></p>","obsidian, programming-languages"
bMWd~RQS<!,"<p>Chapter 5 Memory Management &gt; Static Memory Management &gt; Are <em>constants, object code and global variables</em> usually statically or dynamically allocated?</p>",<p>Statically</p>,"obsidian, programming-languages"
yt_ZUEgTbV,<p>Chapter 5 Memory Management &gt; Dynamic Memory Management Using Stacks &gt; What is the LIFO scheme?</p>,<p>Last in first out.</p>,"obsidian, programming-languages"
"i{aOcT,2.s","<p>Chapter 5 Memory Management &gt; Dynamic Memory Management Using Stacks &gt; A block A is entered, then a block B is entered, with the LIFO scheme, which block do we leave first?</p>",<p>B</p>,"obsidian, programming-languages"
PWrrf9dhZV,"<p>Chapter 5 Memory Management &gt; Dynamic Memory Management Using Stacks &gt; A stack uses which scheme, LIFO, FIFO or FILO?</p>",<p>LIFO</p>,"obsidian, programming-languages"
nbwM0t;*wm,"<p>Chapter 5 Memory Management &gt; Dynamic Memory Management Using Stacks &gt; What is the memory space allocated on the stack, dedicated to an in-line block or to an activation of a procedure called?</p>",<p>The activation record or frame.</p>,"obsidian, programming-languages"
if#lE)EV##,<p>Chapter 5 Memory Management &gt; Dynamic Memory Management Using Stacks &gt; What does the structure of a generic activation record for an in-line block hold?</p>,"<p>Dynamic chain pointer, local variables and intermediate results</p>","obsidian, programming-languages"
f4(=3*jap8,<p>Chapter 5 Memory Management &gt; Dynamic Memory Management Using Stacks &gt; What are intermediate results in an in-line block of an activation record?</p>,"<p>Results which are only needed for something else. For example b = (a + x) / (x + y), a+x and x+y will be calculated and stored before they are divided (depending on the compiler).</p>","obsidian, programming-languages"
A?:WVLu7{E,<p>Chapter 5 Memory Management &gt; Dynamic Memory Management Using Stacks &gt; What does the dynamic chain pointer store? (recall: in-line block of a generic activation record)</p>,<p>A pointer to the previous activation record on the stack (or to the last activation record created).</p>,"obsidian, programming-languages"
B`{w~|ZEF`,<p>Chapter 5 Memory Management &gt; Dynamic Memory Management Using Stacks &gt; What is a procedure?</p>,<p>An independent code module that fulfills some concrete task and is referenced within a larger body of source code</p>,"obsidian, programming-languages"
GuSsUi-xp5,<p>Chapter 5 Memory Management &gt; Dynamic Memory Management Using Stacks &gt; What is the difference in an activation record for a procedure and for a function?</p>,<p>For functions the activation record must also keep tabs on the memory location in which the function stores its return value.</p>,"obsidian, programming-languages"
q}vW9FOnW;,<p>Chapter 5 Memory Management &gt; Dynamic Memory Management Using Stacks &gt; How is the runtime management of the system stack implemented?</p>,<p>By code fragments which the compiler or interpreter inserts immediately before and after the call to a procedure or before the start and after the end of a block</p>,"obsidian, programming-languages"
KzQ;)+F-%l,<p>06 Control Structures &gt; Review Questions &gt; Why do we need memory?</p>,<p>To store the state of the program</p>,"obsidian, programming-languages"
o0S<{m-smY,<p>06 Control Structures &gt; Review Questions &gt; What kinds of data structures are we using in memory management ?</p>,<p>Stack and the heap</p>,"obsidian, programming-languages"
